# ДАННЫЕ ДЛЯ АНАЛИЗА ЭВОЛЮЦИИ ВСЕЛЕННОЙ (p = КОНСТАНТА)
# Формат: a, N, p, lambda, hbar, c, G, e, alpha, epsilon_0, mu_0, em_check, T, R, H, age
# Все величины в СИ
#
a	N	p	lambda	hbar	c	G	e	alpha_em	epsilon_0	mu_0	em_check	T	R	H	age	m_e	m_proton
1.000000e-32	1.000000e+00	5.270179e-02	8.211290e+01	7.652933e-07	3.375589e+01	1.773347e-25	1.602000e-19	1.160558e+00	8.854000e-12	1.019430e-17	1.028481e-25	2.034878e+28	1.178449e-01	2.864433e+02	3.491092e-03	1.155623e-03	2.406686e-07
4.498433e-32	3.235459e+02	5.270179e-02	2.233229e-02	2.822601e-01	1.241160e+05	8.629251e+02	1.079560e-07	2.746551e-01	7.935002e-20	8.180837e+08	1.000000e+00	2.112213e+24	1.135302e+03	1.093241e+02	9.147111e-03	2.275763e+03	1.742643e+03
2.023590e-31	1.046820e+05	5.270179e-02	5.583073e-03	6.339126e-01	4.964638e+05	8.237734e+06	8.434060e-10	1.557583e-01	1.039016e-24	3.904832e+12	1.000000e+00	2.015371e+23	1.189855e+04	4.172472e+01	2.396661e-02	5.303978e+03	1.624587e+04
9.102982e-31	3.386943e+07	5.270179e-02	2.481366e-03	4.615820e-01	1.117044e+06	7.881748e+08	4.936258e-11	1.087018e-01	3.217613e-27	2.490726e+14	1.000000e+00	3.418612e+22	7.014543e+04	1.592468e+01	6.279560e-02	3.911302e+03	2.695537e+04
4.094915e-30	1.095831e+10	5.270179e-02	1.395768e-03	2.111456e-01	1.985855e+06	1.145505e+10	6.589110e-12	8.348112e-02	9.339920e-29	2.714949e+15	1.000000e+00	7.339216e+21	3.267379e+05	6.077824e+00	1.645326e-01	1.800657e+03	2.206136e+04
1.842070e-29	3.545518e+12	5.270179e-02	8.932917e-04	7.480012e-02	3.102899e+06	5.928051e+10	1.381836e-12	6.775971e-02	9.240558e-30	1.124001e+16	1.000000e+00	1.792697e+21	1.337649e+06	2.319666e+00	4.310966e-01	6.403623e+02	1.225878e+04
8.286428e-29	1.147138e+15	5.270179e-02	6.203414e-04	2.253523e-02	4.468174e+06	1.596491e+11	3.856452e-13	5.702130e-02	1.985637e-30	2.522551e+16	1.000000e+00	4.751403e+20	5.046931e+06	8.853251e-01	1.129529e+00	1.934218e+02	5.331990e+03
3.727594e-28	3.711518e+17	5.270179e-02	4.557611e-04	6.070189e-03	6.081682e+06	2.739491e+11	1.310872e-13	4.922087e-02	7.287124e-31	3.710192e+16	1.000000e+00	1.332311e+20	1.799880e+07	3.378937e-01	2.959510e+00	5.219721e+01	1.958505e+03
1.676833e-27	1.200847e+20	5.270179e-02	3.489421e-04	1.506338e-03	7.943421e+06	3.379837e+11	5.147742e-14	4.329781e-02	3.956895e-31	4.005256e+16	1.000000e+00	3.893131e+19	6.159566e+07	1.289607e-01	7.754299e+00	1.297089e+01	6.356691e+02
7.543120e-27	3.885291e+22	5.270179e-02	2.757073e-04	3.510898e-04	1.005339e+07	3.241088e+11	2.257091e-14	3.864714e-02	2.898023e-31	3.414073e+16	1.000000e+00	1.174009e+19	2.042574e+08	4.921923e-02	2.031726e+01	3.026457e+00	1.877158e+02
