# ОТНОШЕНИЯ КОНСТАНТ К СОВРЕМЕННЫМ ЗНАЧЕНИЯМ
# Формат: a, G/G0, e/e0, hbar/hbar0, c/c0, alpha/alpha0, (m_proton/m_e)
#
a	G_ratio	e_ratio	hbar_ratio	c_ratio	alpha_ratio	mp_me_ratio
1.000000e-32	6.997125e-14	1.006441e+00	1.102496e+28	1.936612e-08	1.590501e+02	4.835706e-04
4.498433e-32	6.149629e+14	4.827883e+12	3.162945e+33	8.014605e-05	3.764043e+01	1.897484e+00
2.023590e-31	1.091066e+19	2.784714e+10	8.239855e+33	3.621227e-04	2.134607e+01	8.128877e+00
9.102982e-31	2.001573e+21	1.189320e+09	7.124703e+33	9.239411e-04	1.489716e+01	1.966517e+01
4.094915e-30	5.771252e+22	1.143741e+08	3.919792e+33	1.870596e-03	1.144077e+01	3.774958e+01
1.842070e-29	6.151737e+23	1.703921e+07	1.688784e+33	3.344217e-03	9.286208e+00	6.398899e+01
8.286428e-29	3.556762e+24	3.326031e+06	6.257581e+32	5.538599e-03	7.814549e+00	1.004823e+02
3.727594e-28	1.371930e+25	7.772401e+05	2.098139e+32	8.720332e-03	6.745532e+00	1.500034e+02
1.676833e-27	4.005273e+25	2.058284e+05	6.566855e+31	1.326001e-02	5.933798e+00	2.162673e+02
7.543120e-27	9.628596e+25	5.955707e+04	1.958914e+31	1.967926e-02	5.296442e+00	3.043227e+02
3.393222e-26	2.025551e+26	1.834374e+04	5.653864e+30	2.872299e-02	4.782725e+00	4.211473e+02
1.526418e-25	3.909008e+26	5.894589e+03	1.597451e+30	4.147329e-02	4.359850e+00	5.765693e+02
6.866488e-25	7.198282e+26	1.943832e+03	4.461765e+29	5.953361e-02	4.005680e+00	7.847366e+02
3.088844e-24	1.310434e+27	6.482706e+02	1.242823e+29	8.533632e-02	3.704728e+00	1.066533e+03
1.389495e-23	2.441216e+27	2.156153e+02	3.482301e+28	1.226750e-01	3.445837e+00	1.453702e+03
6.250552e-23	4.826151e+27	7.049332e+01	9.904134e+27	1.776658e-01	3.220767e+00	1.996189e+03
2.811769e-22	1.055388e+28	2.229049e+01	2.889053e+27	2.605726e-01	3.023295e+00	2.775909e+03
1.264855e-21	2.686386e+28	6.684389e+00	8.754056e+26	3.894904e-01	2.848639e+00	3.934159e+03
5.689866e-21	8.513106e+28	1.852776e+00	2.802062e+26	5.983566e-01	2.693061e+00	5.730520e+03
2.559548e-20	3.695537e+29	4.577995e-01	9.703615e+25	9.561085e-01	2.553597e+00	8.682000e+03
1.151395e-19	2.545998e+30	9.539175e-02	3.771849e+25	1.618558e+00	2.427866e+00	1.393540e+04
5.179475e-19	3.575443e+31	1.525630e-02	1.751912e+25	2.995095e+00	2.313935e+00	2.445010e+04
2.329952e-18	1.668084e+33	1.558986e-03	1.098594e+25	6.439765e+00	2.210218e+00	4.984467e+04
1.048113e-17	8.513898e+35	6.508792e-05	1.252935e+25	1.867270e+01	2.115400e+00	1.370360e+05
4.714866e-17	5.342660e+41	1.889451e-07	8.461732e+25	1.317526e+02	2.028382e+00	9.167805e+05
2.120951e-16	8.887729e+45	2.143626e-09	2.305948e+26	5.905230e+02	1.948241e+00	3.896024e+06
9.540955e-16	5.329725e+35	6.350787e-06	1.539811e+23	4.143091e+01	1.874191e+00	2.591720e+05
4.291934e-15	1.712774e+31	1.338886e-04	2.782032e+21	1.511984e+01	1.805565e+00	8.967874e+04
1.930698e-14	1.383043e+28	8.437291e-04	1.125377e+20	8.256343e+00	1.741787e+00	4.643106e+04
8.685114e-14	4.946371e+25	3.046832e-03	6.604164e+18	5.430221e+00	1.682360e+00	2.895457e+04
3.906940e-13	4.165536e+23	7.989797e-03	4.800936e+17	3.975017e+00	1.626855e+00	2.009635e+04
1.757511e-12	6.109179e+21	1.703562e-02	4.009315e+16	3.118720e+00	1.574896e+00	1.494973e+04
7.906043e-12	1.319691e+20	3.144603e-02	3.688610e+15	2.568242e+00	1.526152e+00	1.167271e+04
3.556480e-11	3.789543e+18	5.222019e-02	3.643889e+14	2.191536e+00	1.480336e+00	9.444154e+03
1.599859e-10	1.352377e+17	8.000396e-02	3.800755e+13	1.921591e+00	1.437190e+00	7.851525e+03
7.196857e-10	5.725563e+15	1.150620e-01	4.137423e+12	1.721272e+00	1.396488e+00	6.668393e+03
3.237458e-09	2.781264e+14	1.572961e-01	4.661423e+11	1.568559e+00	1.358028e+00	5.761709e+03
1.456348e-08	1.512202e+13	2.062935e-01	5.401887e+10	1.449674e+00	1.321629e+00	5.048930e+03
6.551286e-08	9.030866e+11	2.613896e-01	6.408594e+09	1.355606e+00	1.287131e+00	4.476529e+03
2.947052e-07	5.837541e+10	3.217357e-01	7.754920e+08	1.280249e+00	1.254388e+00	4.008493e+03
1.325711e-06	4.037050e+09	3.863631e-01	9.543930e+07	1.219333e+00	1.223270e+00	3.619824e+03
5.963623e-06	2.959175e+08	4.542411e-01	1.191782e+07	1.169793e+00	1.193658e+00	3.292706e+03
2.682696e-05	2.281585e+07	5.243253e-01	1.507156e+06	1.129382e+00	1.165445e+00	3.014139e+03
1.206793e-04	1.838774e+06	5.955962e-01	1.927203e+05	1.096416e+00	1.138536e+00	2.774450e+03
5.428675e-04	1.540865e+05	6.670889e-01	2.488481e+04	1.069617e+00	1.112841e+00	2.566306e+03
2.442053e-03	1.336673e+04	7.379138e-01	3.241146e+03	1.047996e+00	1.088281e+00	2.384066e+03
1.098541e-02	1.195860e+03	8.072709e-01	4.254149e+02	1.030777e+00	1.064781e+00	2.223321e+03
4.941713e-02	1.099855e+02	8.744566e-01	5.622479e+01	1.017349e+00	1.042274e+00	2.080589e+03
2.222996e-01	1.037024e+01	9.388678e-01	7.477281e+00	1.007222e+00	1.020700e+00	1.953080e+03
1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.838542e+03
