# ОТНОШЕНИЯ КОНСТАНТ К СОВРЕМЕННЫМ ЗНАЧЕНИЯМ (p = КОНСТАНТА)
# Формат: a, G/G0, e/e0, hbar/hbar0, c/c0, alpha/alpha0, (m_proton/m_e)
#
a	G_ratio	e_ratio	hbar_ratio	c_ratio	alpha_ratio	mp_me_ratio
1.000000e-32	2.683234e-15	1.006441e+00	7.302698e+27	1.132739e-07	1.590501e+02	2.082588e-04
4.498433e-32	1.305683e+13	6.782231e+11	2.693425e+33	4.164931e-04	3.764043e+01	7.657400e-01
2.023590e-31	1.246443e+17	5.298618e+09	6.049017e+33	1.665973e-03	2.134607e+01	3.062960e+00
9.102982e-31	1.192579e+19	3.101157e+08	4.404577e+33	3.748438e-03	1.489716e+01	6.891660e+00
4.094915e-30	1.733252e+20	4.139545e+07	2.014825e+33	6.663890e-03	1.144077e+01	1.225184e+01
1.842070e-29	8.969674e+20	8.681255e+06	7.137690e+32	1.041233e-02	9.286208e+00	1.914350e+01
8.286428e-29	2.415635e+21	2.422779e+06	2.150391e+32	1.499375e-02	7.814549e+00	2.756664e+01
3.727594e-28	4.145096e+21	8.235430e+05	5.792388e+31	2.040816e-02	6.745532e+00	3.752126e+01
1.676833e-27	5.113996e+21	3.234020e+05	1.437401e+31	2.665556e-02	5.933798e+00	4.900736e+01
7.543120e-27	4.904056e+21	1.417996e+05	3.350222e+30	3.373594e-02	5.296442e+00	6.202494e+01
3.393222e-26	3.855050e+21	6.782231e+04	7.431607e+29	4.164931e-02	4.782725e+00	7.657400e+01
1.526418e-25	2.580285e+21	3.480357e+04	1.583801e+29	5.039567e-02	4.359850e+00	9.265455e+01
6.866488e-25	1.512305e+21	1.892796e+04	3.265526e+28	5.997501e-02	4.005680e+00	1.102666e+02
3.088844e-24	7.928439e+20	1.080859e+04	6.548459e+27	7.038734e-02	3.704728e+00	1.294101e+02
1.389495e-23	3.780048e+20	6.433930e+03	1.282468e+27	8.163265e-02	3.445837e+00	1.500850e+02
6.250552e-23	1.660594e+20	3.969481e+03	2.460892e+26	9.371095e-02	3.220767e+00	1.722915e+02
2.811769e-22	6.793254e+19	2.526578e+03	4.638962e+25	1.066222e-01	3.023295e+00	1.960295e+02
1.264855e-21	2.610331e+19	1.652837e+03	8.609275e+24	1.203665e-01	2.848639e+00	2.212989e+02
5.689866e-21	9.489155e+18	1.107809e+03	1.575813e+24	1.349438e-01	2.693061e+00	2.480998e+02
2.559548e-20	3.283067e+18	7.587476e+02	2.848948e+23	1.503540e-01	2.553597e+00	2.764322e+02
1.151395e-19	1.086568e+18	5.298618e+02	5.093960e+22	1.665973e-01	2.427866e+00	3.062960e+02
5.179475e-19	3.454938e+17	3.765629e+02	9.017508e+21	1.836735e-01	2.313935e+00	3.376914e+02
2.329952e-18	1.059374e+17	2.719029e+02	1.581908e+21	2.015827e-01	2.210218e+00	3.706182e+02
1.048113e-17	3.142580e+16	1.991947e+02	2.752260e+20	2.203249e-01	2.115400e+00	4.050765e+02
4.714866e-17	9.044310e+15	1.478747e+02	4.752436e+19	2.399000e-01	2.028382e+00	4.410663e+02
2.120951e-16	2.531573e+15	1.111201e+02	8.149470e+18	2.603082e-01	1.948241e+00	4.785875e+02
9.540955e-16	6.906826e+14	8.444212e+01	1.388562e+18	2.815494e-01	1.874191e+00	5.176403e+02
4.291934e-15	1.840263e+14	6.483749e+01	2.351977e+17	3.036235e-01	1.805565e+00	5.582245e+02
1.930698e-14	4.796703e+13	5.026508e+01	3.962050e+16	3.265306e-01	1.741787e+00	6.003402e+02
8.685114e-14	1.225003e+13	3.931756e+01	6.640375e+15	3.502707e-01	1.682360e+00	6.439874e+02
3.906940e-13	3.069473e+12	3.101157e+01	1.107647e+15	3.748438e-01	1.626855e+00	6.891660e+02
1.757511e-12	7.555540e+11	2.465135e+01	1.839421e+14	4.002499e-01	1.574896e+00	7.358762e+02
7.906043e-12	1.829080e+11	1.973889e+01	3.041968e+13	4.264890e-01	1.526152e+00	7.841178e+02
3.556480e-11	4.359240e+10	1.591384e+01	5.011099e+12	4.535610e-01	1.480336e+00	8.338909e+02
1.599859e-10	1.023776e+10	1.291279e+01	8.224648e+11	4.814661e-01	1.437190e+00	8.851955e+02
7.196857e-10	2.371296e+09	1.054135e+01	1.345241e+11	5.102041e-01	1.396488e+00	9.380316e+02
3.237458e-09	5.421155e+08	8.654761e+00	2.193135e+10	5.397751e-01	1.358028e+00	9.923991e+02
1.456348e-08	1.224148e+08	7.144313e+00	3.564442e+09	5.701791e-01	1.321629e+00	1.048298e+03
6.551286e-08	2.732113e+07	5.927716e+00	5.776297e+08	6.014161e-01	1.287131e+00	1.105729e+03
2.947052e-07	6.030448e+06	4.942200e+00	9.334805e+07	6.334860e-01	1.254388e+00	1.164691e+03
1.325711e-06	1.317135e+06	4.139545e+00	1.504595e+07	6.663890e-01	1.223270e+00	1.225184e+03
5.963623e-06	2.848177e+05	3.482455e+00	2.419074e+06	7.001249e-01	1.193658e+00	1.287209e+03
2.682696e-05	6.100544e+04	2.941897e+00	3.880125e+05	7.346939e-01	1.165445e+00	1.350765e+03
1.206793e-04	1.294881e+04	2.495131e+00	6.209523e+04	7.700958e-01	1.138536e+00	1.415853e+03
