Результаты для R (число Авогадро):
================================================================================
Ошибка: 0.1350%, Значение: 6.012e+23, Формула: N^(1/5) * p^(1/4) * K^(-1/3), Членов: 3
Ошибка: 0.2859%, Значение: 6.037e+23, Формула: p^5 * N^(1/4) * p^(1/4), Членов: 3
Ошибка: 0.3291%, Значение: 6.040e+23, Формула: 1/ln(K) * N^(1/5) * K^(-1/3), Членов: 3
Ошибка: 0.4470%, Значение: 6.047e+23, Формула: Ru * p^5 * K^5 * p^(2/3), Членов: 4
Ошибка: 0.6127%, Значение: 6.057e+23, Формула: p * K^5 * N^(1/6) * p^(-1/6), Членов: 4
Ошибка: 0.7519%, Значение: 6.065e+23, Формула: 1/ln(K) * p^5 * N^(1/4), Членов: 3
Ошибка: 0.8764%, Значение: 6.073e+23, Формула: Ru * p^2 * p^(-1/3) * K^(-2/3), Членов: 4
Ошибка: 0.8764%, Значение: 6.073e+23, Формула: p * Ru * p^(2/3) * K^(-2/3), Членов: 4
Ошибка: 1.2546%, Значение: 6.096e+23, Формула: sqrt(p*K) * N^(1/5) * p^(1/3), Членов: 3
Ошибка: 1.2546%, Значение: 6.096e+23, Формула: p * sqrt(p*K) * N^(1/5) * p^(-2/3), Членов: 4
Ошибка: 1.2546%, Значение: 6.096e+23, Формула: p * sqrt(K) * N^(1/5) * p^(-1/6), Членов: 4
Ошибка: 1.2546%, Значение: 6.096e+23, Формула: p * N^(1/5) * p^(-1/6) * K^(1/2), Членов: 4
Ошибка: 1.3403%, Значение: 6.101e+23, Формула: h * p^3 * N^(1/2) * K^(2/3), Членов: 4
Ошибка: 1.4445%, Значение: 6.107e+23, Формула: Ru * ln(K) * 1/ln(N) * K^(-2/3), Членов: 4
Ошибка: 1.6105%, Значение: 5.923e+23, Формула: N^(1/5) * p^(2/3) * K^(1/4), Членов: 3
Ошибка: 1.6105%, Значение: 5.923e+23, Формула: p * N^(1/5) * p^(-1/3) * K^(1/4), Членов: 4
Ошибка: 1.9159%, Значение: 6.135e+23, Формула: Ru * 1/ln(N) * p^(-1/4) * K^(-2/3), Членов: 4
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: Ru * sqrt(K) * sqrt(p) * p^2, Членов: 4
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: Ru * sqrt(K) * p^3 * p^(-1/2), Членов: 4
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: Ru * p^3 * p^(-1/2) * K^(1/2), Членов: 4
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: K * Ru * 1/sqrt(p*K) * p^3, Членов: 4
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: Ru * sqrt(K) * 1/sqrt(p) * p^3, Членов: 4
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: Ru * sqrt(K) * p^2 * p^(1/2), Членов: 4
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: Ru * sqrt(p) * p^2 * K^(1/2), Членов: 4
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: Ru * 1/sqrt(p) * p^3 * K^(1/2), Членов: 4
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: Ru * p^2 * p^(1/2) * K^(1/2), Членов: 4
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: Ru * sqrt(p*K) * p^2, Членов: 3
Ошибка: 2.0824%, Значение: 5.895e+23, Формула: Ru * sqrt(p*K) * 1/p * p^3, Членов: 4
Ошибка: 2.2800%, Значение: 6.157e+23, Формула: Ru * p^2 * p^(1/4) * K^(1/6), Членов: 4
Ошибка: 2.4310%, Значение: 5.874e+23, Формула: Ru * 1/ln(N) * K^(-1/3), Членов: 3
Ошибка: 2.4310%, Значение: 5.874e+23, Формула: Ru * 1/ln(N) * K^(1/3) * K^(-2/3), Членов: 4
Ошибка: 2.4310%, Значение: 5.874e+23, Формула: Ru * 1/K * 1/ln(N) * K^(2/3), Членов: 4
Ошибка: 2.4310%, Значение: 5.874e+23, Формула: Ru * 1/ln(N) * K^(1/6) * K^(-1/2), Членов: 4
Ошибка: 2.4310%, Значение: 5.874e+23, Формула: Ru * 1/ln(N) * 1/sqrt(K) * K^(1/6), Членов: 4
Ошибка: 2.7553%, Значение: 6.186e+23, Формула: Ru * 1/ln(K) * p^2 * K^(1/6), Членов: 4
